2016-12-08 10:54:21 - PHP Notice:  Undefined variable: text_phone in E:\magento\magento2\htdocs\opencart23\tt_legend\catalog\view\theme\tt_legend1\template\common\header.tpl on line 133
2016-12-08 10:55:21 - PHP Notice:  Undefined variable: text_phone in E:\magento\magento2\htdocs\opencart23\tt_legend\catalog\view\theme\tt_legend1\template\common\header.tpl on line 133
2016-12-08 10:56:21 - PHP Notice:  Undefined variable: text_phone in E:\magento\magento2\htdocs\opencart23\tt_legend\catalog\view\theme\tt_legend1\template\common\header.tpl on line 133
2016-12-08 11:04:58 - PHP Notice:  Undefined variable: text_phone in E:\magento\magento2\htdocs\opencart23\tt_legend\catalog\view\theme\tt_legend1\template\common\header.tpl on line 133
2016-12-08 11:05:44 - PHP Notice:  Undefined variable: text_phone in E:\magento\magento2\htdocs\opencart23\tt_legend\catalog\view\theme\tt_legend1\template\common\header.tpl on line 133
2016-12-08 11:10:54 - PHP Notice:  Undefined variable: text_phone in E:\magento\magento2\htdocs\opencart23\tt_legend\catalog\view\theme\tt_legend1\template\common\header.tpl on line 133
2016-12-08 11:12:16 - PHP Notice:  Undefined variable: text_phone in E:\magento\magento2\htdocs\opencart23\tt_legend\catalog\view\theme\tt_legend1\template\common\header.tpl on line 133
2016-12-08 11:17:00 - PHP Notice:  Undefined variable: text_phone in E:\magento\magento2\htdocs\opencart23\tt_legend\catalog\view\theme\tt_legend1\template\common\header.tpl on line 133
2016-12-10 2:41:04 - PHP Notice:  Undefined variable: text_phone in E:\magento\magento2\htdocs\opencart23\tt_legend\catalog\view\theme\tt_legend1\template\common\header.tpl on line 133
2016-12-10 3:22:59 - PHP Notice:  Undefined variable: text_phone in E:\magento\magento2\htdocs\opencart23\tt_legend\catalog\view\theme\tt_legend1\template\common\header.tpl on line 133
2016-12-10 3:25:48 - PHP Notice:  Undefined variable: text_phone in E:\magento\magento2\htdocs\opencart23\tt_legend\catalog\view\theme\tt_legend1\template\common\header.tpl on line 133
2016-12-10 3:29:21 - PHP Notice:  Undefined variable: text_phone in E:\magento\magento2\htdocs\opencart23\tt_legend\catalog\view\theme\tt_legend1\template\common\header.tpl on line 133
2016-12-10 3:30:21 - PHP Notice:  Undefined variable: text_phone in E:\magento\magento2\htdocs\opencart23\tt_legend\catalog\view\theme\tt_legend1\template\common\header.tpl on line 133
2016-12-10 3:32:21 - PHP Notice:  Undefined variable: text_phone in E:\magento\magento2\htdocs\opencart23\tt_legend\catalog\view\theme\tt_legend1\template\common\header.tpl on line 133
2016-12-10 3:33:22 - PHP Notice:  Undefined variable: text_phone in E:\magento\magento2\htdocs\opencart23\tt_legend\catalog\view\theme\tt_legend1\template\common\header.tpl on line 133
2016-12-10 3:34:39 - PHP Notice:  Undefined variable: text_phone in E:\magento\magento2\htdocs\opencart23\tt_legend\catalog\view\theme\tt_legend1\template\common\header.tpl on line 133
2016-12-10 3:49:21 - PHP Notice:  Undefined variable: text_phone in E:\magento\magento2\htdocs\opencart23\tt_legend\catalog\view\theme\tt_legend1\template\common\header.tpl on line 133
2016-12-10 3:51:21 - PHP Notice:  Undefined variable: text_phone in E:\magento\magento2\htdocs\opencart23\tt_legend\catalog\view\theme\tt_legend1\template\common\header.tpl on line 133
